title,prediction
Still Time,Mature
Surf World Series,Everyone
The Metronomicon: Slay the Dance Floor,Everyone 10+
Windjammers,Everyone
Rock of Ages 2: Bigger and Boulder,Everyone 10+
South Park: The Fractured but Whole ,Mature
Dishonored: Death of the Outsider,Mature
Battle of the Bulge,Everyone 10+
F1 2017,Everyone
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 2,Everyone 10+
NARUTO SHIPPUDEN™: Ultimate Ninja® STORM 3 Full Burst,Teen
NARUTO™: Ultimate Ninja® STORM,Everyone 10+
NeverEnd,Everyone 10+
One Piece: Unlimited World Red Deluxe Edition,Everyone 10+
Outcast - Second Contact,Teen
Path of Exile,Mature
South Park: The Stick of Truth,Mature
Realms of Arkania - Blade of Destiny,Teen
ACA NEOGEO PUZZLED,Everyone
Axiom Verge,Everyone 10+
Blacksea Odyssey ,Teen
ChromaGun,Everyone 10+
Mages of Mystralia,Everyone 10+
Bleed,Teen
Duck Game,Everyone 10+
Knack 2,Everyone 10+
Madden NFL 18 G.O.A.T. Edition,Everyone 10+
Marvel's Guardians of the Galaxy: The Telltale Series – More than a Feeling,Teen
Middle-Earth: Shadow of War,Mature
Raiden V: Director's Cut,Teen
Soul Dimension,Mature
Super Comboman: Smash Edition,Everyone 10+
SwapQuest,Everyone 10+
The Book of Regrets,Teen
The Escapists 2,Everyone 10+
Uncharted: The Lost Legacy,Teen
RAID: WORLD WAR II,Mature
Minecraft: Story Mode - Season Two - Season Pass,Everyone 10+
Gran Turismo Sport,Everyone
BLUE REFLECTION™,Everyone 10+
ACA NEOGEO MAGICIAN LORD,Teen
Limbo,Everyone
Madden NFL 18,Everyone 10+
>Observer_,Mature
3D MiniGolf,Everyone
Dark Mystery,Everyone
Defenders of Ekron,Teen
Eliosi's Hunt,Everyone 10+
Matterfall,Everyone 10+
Minecraft: Story Mode - Season Two - Episode 2: Giant Consequences,Everyone 10+
Nidhogg 2,Teen
Night Trap - 25th Anniversary Edition,Teen
Paranormal Activity: The Lost Soul,Mature
Undertale,Everyone 10+
Dragon's Dogma: Dark Arisen,Mature
The Girl and the Robot,Everyone 10+
GUNDAM VERSUS,Everyone 10+
ACA NEOGEO THE KING OF FIGHTERS '96,Teen
Battlefield 1 Revolution,Teen
.hack//G.U. Last Recode,Teen
Pro Evolution Soccer 2018 ,Everyone
Batman: The Enemy Within - Season Pass,Teen
Comet Crash 2: The Kronkoid Wars,Everyone 10+
Graceful Explosion Machine,Everyone
Hellblade: Senua's Sacrifice,Mature
ICEY,Everyone 10+
Masquerada: Songs and Shadows,Teen
Neon Drive,Everyone
Neptune Flux,Everyone
Project CARS 2,Everyone
Transport Giant,Everyone
Cat Quest,Everyone 10+
Battle Chasers: Nightwar,Everyone 10+
ACA NEOGEO AERO FIGHTERS 2,Everyone 10+
Dino Frontier,Teen
Drawfighters,Everyone 10+
Dreadnought,Teen
Frisky Business ,Teen
It's Spring Again,Everyone
Patapon Remastered,Everyone
Shantae: Half-Genie Hero,Teen
The Long Dark,Teen
Destiny 2,Teen
Sundered,Everyone 10+
Leaving Lyndow,Everyone
Ken Follett's The Pillars of the Earth,Teen
LawBreakers,Teen
Theseus,Mature
Vostok Inc.,Everyone 10+
A HEALER ONLY LIVES TWICE,Everyone 10+
Apollo 11 VR,Everyone
Circuit Breakers,Everyone 10+
Digital Domain's Monkey King,Teen
Fortnite,Teen
Heroes of the Seven Seas,Teen
Infinite Minigolf,Everyone
Pressure Overdrive,Everyone 10+
Pyre,Everyone 10+
Smashbox Arena,Everyone 10+
Super Cloudbuilt,Teen
Tiny Trax,Everyone
Unbox - Newbie's Adventure,Everyone
Marvel vs. Capcom: Infinite,Teen
INSIDE,Teen
Pillars of Eternity,Teen
Conga Master,Everyone
Chaos;Child,Mature
THE IDOLM@STER CINDERELLA GIRLS VIEWING REVOLUTION,Teen
Orcs Must Die! Unchained,Mature
RobotRiot: Hyper Edition,Teen
Archangel,Teen
99Vidas - The Game,Everyone 10+
Fallen Legion: Sins of an Empire,Everyone 10+
Children of Zodiarcs,Teen
Deadcore,Everyone
ACA NEOGEO FATAL FURY SPECIAL,Teen
Black the Fall,Teen
Derelict Fleet,Everyone 10+
Echoes of the Fey: The Fox's Trail,Teen
Fantastic Contraption,Everyone
IRON CRYPTICLE,Teen
Leap of Fate,Mature
Minecraft: Story Mode - Season Two - Hero in Residence,Everyone 10+
MotoGP™17,Everyone
Serial Cleaner,Teen
The Bellows,Mature
Transport Giant,Everyone
Warlocks vs Shadows,Everyone 10+
YamaYama,Everyone 10+
theHunter: Call of the Wild,Teen
ACA NEOGEO PULSTAR,Everyone 10+
Accel World vs. Sword Art Online,Teen
Dead Alliance,Mature
CYBERDIMENSION NEPTUNIA: 4 GODDESSES ONLINE,Everyone 10+
Cities: Skylines,Everyone
WARRIORS ALL-STARS™,Teen
Jak 3,Everyone
Jak and Daxter,Teen
Jak II,Everyone
Jak X: Combat Racing,Everyone 10+
ACA NEOGEO 2020 SUPER BASEBALL,Everyone
Cryptark,Mature
America's Army: Proving Grounds,Mature
Ancient Amuletor,Teen
Arizona Sunshine,Teen
Cavernous Wastes,Teen
Diablo III: Eternal Collection,Mature
Elite Dangerous: Legendary Edition,Teen
Medieval Defenders,Everyone 10+
Poi,Everyone 10+
The Tenth Line,Everyone 10+
The World of Nubla (Nubla Universe),Everyone
Brawlhalla,Everyone 10+
Dark Arcana: The Carnival,Teen
Energy Cycle,Everyone
SHINY,Everyone
Baja: Edge of Control HD,Everyone
Get Even,Mature
Grim Legends 2: Song of the Dark Swan,Teen
SUPERHOT VR,Teen
The Girl and the Robot,Everyone 10+
Air Force Special Ops: Nightfall,Everyone
Blasting Agent: Ultimate Edition,Everyone 10+
Chess Ultra,Everyone
Dead by Daylight,Mature
Everybody's Golf,Everyone
I Want To Be Human,Mature
Island Flight Simulator,Everyone
Lili: Child of Geos,Everyone 10+
Nex Machina,Teen
Raiders of The Broken Planet,Teen
Tinertia,Everyone 10+
Elite Dangerous: Legendary Edition,Teen
A hole new world,Teen
Resident Evil Revelations,Mature
Tour de France 2017,Everyone
Utawarerumono: Mask of Deception,Mature
ACA NEOGEO MAGICAL DROP II,Teen
Cars 3: Driven to Win,Everyone 10+
Agents of Mayhem,Mature
ELEX,Teen
Mr Shifty,Teen
Pharaonic,Teen
Hunting Simulator,Teen
Redout,Everyone
Damascus Gear: Operation Tokyo HD Edition,Teen
ACA NEOGEO KING OF THE MONSTERS,Everyone 10+
Perception,Teen
Cladun Returns: This Is Sengoku!,Everyone 10+
DiRT 4,Everyone
Energy Balance,Everyone
Jump Stars,Everyone
Mega Man Legacy Collection 2,Everyone 10+
Neighborhorde,Everyone 10+
Plague Road,Mature
Randall,Teen
Skylight Freerange,Mature
Special Delivery,Everyone 10+
Yonder: The Cloud Catcher Chronicles,Everyone 10+
ACA NEOGEO METAL SLUG 2,Teen
SpeedRunners,Everyone
Unbox - Newbie's Adventure,Everyone
Thea: The Awakening,Teen
Tokyo 42,Teen
Crossout,Teen
Danger Zone,Everyone 10+
Oh...Sir! The Insult Simulator,Teen
Paddle Vs. Paddle,Everyone
Polarity: Ultimate Edition,Everyone 10+
Friday the 13th: The Game,Mature
Guilty Gear Xrd REV 2,Mature
GWENT: The Witcher card game,Teen
BUGSBOX,Everyone
ACA NEOGEO WORLD HEROES 2,Teen
Deliriant,Teen
Embers of Mirrim,Everyone
Pox Nora,Teen
Puzzle Showdown 4K,Everyone
SmuggleCraft,Teen
Spellspire,Teen
Star Ocean Till the End of Time,Teen
CHROMA SQUAD,Teen
Shadow Warrior 2,Mature
Skylar & Plux: Adventure on Clover Island,Everyone
ACA NEOGEO THE LAST BLADE,Teen
Sonic Mania,Everyone
Black & White Bushido,Teen
Future Unfolding,Everyone
Tango Fiesta,Teen
The Surge,Mature
White Day: A Labyrinth Named School,Mature
Danganronpa Another Episode: Ultra Despair Girls,Teen
Narcosis,Mature
Blade & Bones,Mature
BUTCHER,Mature
Human Fall Flat,Everyone
Last Stitch Goodnight,Teen
Lethal League,Everyone 10+
LocoRoco Remastered,Everyone
Moonshot Galaxy,Everyone
NBA Playgrounds,Everyone
Polybius,Everyone 10+
Revenant Saga,Everyone
RiME,Everyone 10+
STRAFE,Teen
Call of Duty: Black Ops III Zombies Chronicles,Mature
Crash Bandicoot (TM) N. Sane Trilogy,Everyone 10+
Sine Mora EX,Teen
AereA,Everyone 10+
Bit Dungeon+,Teen
Save the Ninja Clan,Teen
Planetbase,Everyone 10+
ACA NEOGEO LAST RESORT,Everyone
Farpoint,Mature
GNOG,Everyone 10+
Super Rude Bear Resurrection,Teen
TumbleSeed,Everyone
Constructor,Teen
Wipeout: Omega Collection,Everyone 10+
The Sexy Brutale: Full House Edition,Teen
Lost Grimoires: Stolen Kingdom,Everyone 10+
River City Melee: Battle Royal Special,Everyone
The Town of Light,Teen
Outlast Trinity,Mature
8-Bit Armies,Teen
Injustice 2,Teen
Deathstate,Teen
Games of Glory,Everyone 10+
Marvel Heroes Omega,Teen
Outlast 2,Mature
Shovel Knight: Specter of Torment,Everyone
Statik,Teen
Symphony of the Machine,Everyone
The Walking Dead: A New Frontier - Thicker than Water,Mature
What Remains of Edith Finch,Teen
Aven Colony ,Teen
Yooka-Laylee,Everyone 10+
The Golf Club 2,Everyone
The Elder Scrolls Online: Morrowind,Mature
Psychonauts In The Rhombus Of Ruin,Everyone 10+
Yakuza Kiwami,Teen
Micro Machines: World Series,Everyone 10+
'n Verlore Verstand,Everyone
BLACKHOLE: Complete Edition,Teen
ACA NEOGEO FATAL FURY 2,Teen
ACA NEOGEO OVER TOP,Everyone
Bandit Six: Combined Arms,Teen
ACA NEOGEO SENGOKU 2,Teen
Flinthook,Teen
Full Throttle Remastered,Teen
HeroCade,Mature
Late Shift,Teen
MechRunner,Everyone 10+
Portal Knights,Everyone 10+
Shiness: The Lightning Kingdom,Teen
Spear of Destiny,Mature
Stardew Valley,Everyone 10+
The Disney Afternoon Collection,Everyone
VR Invaders,Everyone 10+
Wonder Boy: The Dragon's Trap,Everyone 10+
Valkyria Revolution,Mature
Job Simulator,Everyone 10+
Baila Latino ,Everyone
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,Teen
Aaero,Everyone 10+
Cosmic Star Heroine,Teen
Crawl,Mature
Euro Fishing,Everyone
Kero Blaster,Everyone
Snow Moto Racing Freedom,Everyone
The Sexy Brutale,Teen
Sudden Strike 4,Teen
Marvel's Guardians of the Galaxy: The Telltale Series - Season Pass Disc,Teen
SplashDown Rides Gone Wild,Everyone
ACA NEOGEO GALAXY FIGHT: UNIVERSAL WARRIORS,Teen
TEKKEN 7,Teen
MXGP3 - The Official Motocross Videogame,Everyone
Air Conflicts: Secret Wars Ultimate Edition,Teen
ArmaGallant: Decks of Destiny,Everyone 10+
Blackwood Crossing,Everyone
Drawn to Death,Mature
FlatOut 4: Total Insanity,Teen
Hatsune Miku: Project DIVA Future Tone 3rd Encore Pack,Teen
Mortal Blitz,Teen
Mr. Massagy,Teen
Parappa the Rapper Remastered,Everyone
Plutobi: The Dwarf Planet Tales,Everyone
Use Your Words,Everyone
VIRRY VR,Everyone 10+
SAMURAI WARRIORS®: Spirit of Sanada,Teen
Shadow Tactics - Blades of the Shogun,Teen
The Silver Case,Teen
Dark Rose Valkyrie,Teen
Deer Simulator,Mature
Punch Club,Teen
Puyo Puyo™ Tetris®,Everyone
Red Faction 2,Teen
Rogue Stormers,Teen
SkyKeepers,Everyone
Stuntman: Ignition,Teen
Styx: Shards of Darkness,Mature
The Inner World,Everyone
Thimbleweed Park,Everyone 10+
Zero Escape: The Nonary Games,Mature
ACA NEOGEO THE KING OF FIGHTERS '95,Teen
WONDER BOY RETURNS,Everyone
88 Heroes,Everyone 10+
Anoxemia,Teen
Dark Souls™ III: The Fire Fades™ Edition,Teen
Fated: The Silent Oath,Mature
GOD WARS Future Past,Everyone 10+
Korix,Everyone 10+
Rain World,Everyone 10+
Skyforge,Teen
Snake Pass,Everyone
The Walking Dead: A New Frontier - Above the Law,Mature
Vikings - Wolves of Midgard,Mature
FATAL FURY BATTLE ARCHIVES VOL.2,Teen
AKIBA'S BEAT,Everyone 10+
Prey ,Teen
88 Heroes,Everyone 10+
Death Tales,Everyone 10+
EVERYTHING,Everyone
Rayon Riddles - Rise of the Goblin King,Everyone 10+
Royal Defense,Everyone 10+
Little Nightmares,Teen
Kona,Teen
R.B.I. Baseball 17,Everyone
ACA NEOGEO SENGOKU,Teen
Momodora: Reverie Under the Moonlight,Teen
Chaos Code - New Sign of Catastrophe -,Everyone 10+
Gem Smashers,Everyone
SUPERBEAT: XONiC,Teen
Blue-Collar Astronaut,Everyone 10+
Death Squared,Everyone
Leave The Nest,Everyone
NeuroVoider,Everyone 10+
Troll & I,Mature
Mass Effect™: Andromeda,Mature
Birthdays the Beginning,Everyone
Clicker Heroes,Everyone 10+
Darknet,Everyone
Dino Dini's Kick Off Revival,Everyone
Disc Jam,Everyone
Hatsune Miku: Project DIVA Future Tone 2nd Encore Pack,Teen
Loot Rascals,Everyone 10+
MLB The Show 17,Everyone
Sublevel Zero Redux,Everyone 10+
Talisman Digital Edition,Everyone
Total Jigsaw,Everyone 10+
Unearthing Mars,Teen
Sniper Ghost Warrior 3,Mature
LEGO City: Undercover,Everyone 10+
Infinifactory,Mature
Syberia 3,Everyone
Bloons TD 5,Everyone
Eekeemoo - Splinters of the Dark Shard,Everyone 10+
Summon Night 6:Lost Borders,Everyone 10+
Ultimate Marvel vs. Capcom 3,Teen
Cities: Skylines,Everyone
A KING'S TALE FINAL FANTASY XV,Everyone 10+
ACA NEOGEO NAM-1975,Teen
The Walking Dead: The Telltale Series: A New Frontier,Mature
Dying : Reborn VR,Teen
DYING:Reborn,Teen
Ghost Blade HD,Everyone 10+
World to the West,Everyone 10+
Air Conflicts:  Secret Wars Ultimate Edition ,Teen
StarBlood Arena,Teen
Atelier Firis: The Alchemist and the Mysterious Journey,Everyone 10+
A Pixel Story,Everyone
ADK DAMASHII,Teen
forma.8,Everyone 10+
Trulon: The Shadow Engine,Everyone 10+
Warhammer 40,000: Deathwatch,Mature
ACA NEOGEO NEO TURF MASTERS,Everyone
Shift Happens,Everyone
Chime Sharp,Everyone
LEGO Worlds,Everyone 10+
Malicious Fallen,Teen
Mervils: A VR Adventure,Everyone 10+
Night in the Woods,Everyone 10+
Psychonauts in the Rhombus of Ruin,Everyone 10+
Sniper Elite 4,Mature
STARRY NIGHTS HELIX,Everyone
VACCINE,Teen
Warhammer Quest,Teen
Ys Origin,Teen
Has Been Heroes,Everyone 10+
SkyRide,Teen
Battle Islands:  Commanders,Everyone 10+
Flywrench,Everyone
iO,Everyone
Monster Loves You!,Mature
MX Nitro,Teen
Persona 5,Mature
Semispheres,Everyone
Vertical Drop Heroes HD,Teen
Hatsune Miku: Project DIVA Future Tone 1st Encore Pack,Teen
Hatsune Miku: Project DIVA Future Tone Colorful Tone,Teen
Hatsune Miku: Project DIVA Future Tone Future Sound,Teen
8DAYS,Mature
Horizon: Zero Dawn,Teen
How to Survive 2,Mature
Kitty Powers' Matchmaker,Teen
Nioh,Teen
Super GunWorld 2,Everyone
The Onion Knights,Everyone 10+
Touhou Genso Wanderer,Everyone 10+
Uncanny Valley,Mature
Valhalla Hills - Definitive Edition ,Teen
VR Ping Pong,Everyone
2Dark,Mature
Bulletstorm: Full Clip Edition,Mature
Pixel Heroes: Byte and Magic,Teen
Adventure Pop,Everyone 10+
Dexed,Everyone 10+
Divide,Teen
DYNASTY WARRIORS: Godseekers,Teen
Kill The Bad Guy,Mature
Knee Deep,Teen
Linelight,Everyone
Double Dragon 4,Teen
ACA NEOGEO WORLD HEROES,Mature
MXGP2 Comapct,Everyone
Toukiden 2,Everyone
Pineview Drive,Teen
Subterrain,Mature
Kingdom Hearts HD 1.5 + 2.5 ReMIX,Everyone 10+
Lock's Quest,Everyone 10+
Berserk and the Band of the Hawk,Mature
Hunter's Legacy,Everyone
Toby: The Secret Mine,Teen
Tom Clancy's Ghost Recon Wildlands ,Mature
Dragon Quest Heroes II,Teen
2064: Read Only Memories,Mature
Joe's Diner,Everyone
Life of Black Tiger,Teen
Quest of Dungeons,Everyone 10+
RWBY: Grimm Eclipse,Teen
Saban's Mighty Morphin Power Rangers: Mega Battle,Everyone 10+
The Flame in the Flood: Complete Edition,Mature
ACA NEOGEO FATAL FURY,Teen
Dead Effect 2,Mature
Rise & Shine,Mature
Sylvio,Teen
Planet 2000,Everyone 10+
Spheroids,Everyone
ACA NEOGEO ALPHA MISSION II,Everyone
Asdivine Hearts,Everyone 10+
Hatsune Miku: Project DIVA Future Tone,Teen
MX vs. ATV Unleashed,Everyone 10+
This is the Police,Mature
Deformers,Teen
Tales of Berseria,Teen
For Honor,Mature
Victor Vran Overkill Edition,Teen
Danganronpa 1•2 Reload,Mature
Touhou Double Focus,Everyone 10+
Crypt of the Serpent King,Teen
